Lon,Lat,LCC_all_BC4000_C,LCC_all_BC4000_B,LCC_all_BC4000_U,NLC_all_BC4000_C,NLC_all_BC4000_B,NLC_all_BC4000_O,HLU_all_BC4000
-1.0000000000,53.0000000000,0.0355657423,0.5664406253,0.3979936323,0.0362644692,0.5775689546,0.3861665761,0.0192675337
-1.0000000000,54.0000000000,0.0333282378,0.5798783842,0.3867933780,0.0339754070,0.5911384887,0.3748861043,0.0190481666
-1.0000000000,55.0000000000,0.0323699379,0.5863713989,0.3812586632,0.0330177017,0.5981054389,0.3688768594,0.0196186813
0.0000000000,45.0000000000,0.0677509131,0.4954439854,0.4368051014,0.0693633332,0.5072351745,0.4234014922,0.0232460005
0.0000000000,46.0000000000,0.0659040736,0.4956171535,0.4384787729,0.0675727526,0.5081660885,0.4242611589,0.0246945542
0.0000000000,47.0000000000,0.0620343975,0.4957852480,0.4421803545,0.0637951090,0.5098570339,0.4263478571,0.0275994739
0.0000000000,48.0000000000,0.0577370142,0.4947359764,0.4475270094,0.0594966142,0.5098136085,0.4306897773,0.0295747933
0.0000000000,49.0000000000,0.0515714429,0.5047821698,0.4436463873,0.0532579363,0.5212895966,0.4254524670,0.0316665188
0.0000000000,50.0000000000,0.0453753878,0.5131396730,0.4414849393,0.0468577204,0.5299030274,0.4232392522,0.0316347587
0.0000000000,51.0000000000,0.0414684739,0.5274469652,0.4310845609,0.0426194066,0.5420859405,0.4152946529,0.0270048976
0.0000000000,52.0000000000,0.0375284723,0.5461543518,0.4163171759,0.0384373243,0.5593809349,0.4021817408,0.0236450374
0.0000000000,53.0000000000,0.0333290884,0.5758477259,0.3908231858,0.0340770297,0.5887703817,0.3771525886,0.0219485494
0.0000000000,54.0000000000,0.0310750603,0.5936219965,0.3753029432,0.0317631837,0.6067671096,0.3614697066,0.0216641820
1.0000000000,45.0000000000,0.0739564686,0.5118007996,0.4142427317,0.0756700648,0.5236593953,0.4006705399,0.0226456277
1.0000000000,46.0000000000,0.0713887660,0.5097800556,0.4188311784,0.0730725723,0.5218039480,0.4051234798,0.0230429310
1.0000000000,47.0000000000,0.0656364763,0.5042095237,0.4301540000,0.0673925936,0.5176997527,0.4149076536,0.0260580171
1.0000000000,48.0000000000,0.0602606780,0.4942959865,0.4454433355,0.0620311271,0.5088183238,0.4291505491,0.0285413017
1.0000000000,49.0000000000,0.0536316078,0.4972628685,0.4491055236,0.0553467951,0.5131657843,0.4314874206,0.0309898208
1.0000000000,50.0000000000,0.0462878136,0.5088263534,0.4448858330,0.0478793560,0.5263216432,0.4257990008,0.0332406809
1.0000000000,51.0000000000,0.0404061553,0.5318653770,0.4277284677,0.0417659836,0.5497647680,0.4084692484,0.0325582724
1.0000000000,52.0000000000,0.0359370926,0.5514513372,0.4126115702,0.0370121807,0.5679484650,0.3950393542,0.0290468745
1.0000000000,53.0000000000,0.0322347382,0.5787719058,0.3889933560,0.0331071027,0.5944351350,0.3724577623,0.0263497700
2.0000000000,45.0000000000,0.1972202602,0.4765426471,0.3262370926,0.2011531978,0.4860457910,0.3128010112,0.0195519517
2.0000000000,46.0000000000,0.1974393971,0.4638511090,0.3387094940,0.2017531309,0.4739855111,0.3242613579,0.0213812488
2.0000000000,47.0000000000,0.0655736112,0.5127933844,0.4216330044,0.0672342786,0.5257799995,0.4069857219,0.0246997131
2.0000000000,48.0000000000,0.0618056027,0.4993585329,0.4388358643,0.0636023048,0.5138749922,0.4225227030,0.0282490090
2.0000000000,49.0000000000,0.0543731523,0.4934265560,0.4522002917,0.0561618237,0.5096584258,0.4341797505,0.0318485265
2.0000000000,50.0000000000,0.0466806726,0.5159347776,0.4373845498,0.0484446363,0.5354308593,0.4161245045,0.0364119500
2.0000000000,51.0000000000,0.0373600079,0.5509760638,0.4116639283,0.0389949752,0.5750881530,0.3859168718,0.0419276403
3.0000000000,45.0000000000,0.1786363276,0.4829890503,0.3383746221,0.1822974438,0.4928878152,0.3248147410,0.0200832007
3.0000000000,46.0000000000,0.2259037001,0.4648530061,0.3092432938,0.2310877598,0.4755204973,0.2933917429,0.0224332942
3.0000000000,47.0000000000,0.1051503040,0.5158012828,0.3790484133,0.1078422405,0.5290062309,0.3631515286,0.0249618008
3.0000000000,48.0000000000,0.1221810868,0.5038023097,0.3740166036,0.1259214239,0.5192252409,0.3548533352,0.0297037394
3.0000000000,49.0000000000,0.0789634129,0.5092521160,0.4117844711,0.0817311028,0.5271015467,0.3911673505,0.0338633623
3.0000000000,50.0000000000,0.0789848246,0.5361066951,0.3849084803,0.0825513019,0.5603140338,0.3571346642,0.0432031633
3.0000000000,51.0000000000,0.0770078582,0.5723217799,0.3506703619,0.0817328640,0.6074379847,0.3108291512,0.0578103539
3.0000000000,52.0000000000,0.0321999806,0.5968786594,0.3709213600,0.0340310890,0.6308212128,0.3351476982,0.0538069309
4.0000000000,45.0000000000,0.2334029266,0.4552512015,0.3113458719,0.2390070918,0.4661820967,0.2948108115,0.0234476942
4.0000000000,46.0000000000,0.2212651767,0.4755400738,0.3031947494,0.2268804902,0.4876084283,0.2855110815,0.0247500941
4.0000000000,47.0000000000,0.1999214201,0.4877379160,0.3123406638,0.2054580521,0.5012453499,0.2932965980,0.0269477489
4.0000000000,48.0000000000,0.1675643564,0.5132071466,0.3192284970,0.1732868161,0.5307335899,0.2959795941,0.0330230526
4.0000000000,49.0000000000,0.1180668783,0.5363052967,0.3456278250,0.1226785310,0.5572532018,0.3200682672,0.0375913588
4.0000000000,50.0000000000,0.1090809789,0.5635198282,0.3273991928,0.1148506945,0.5933265752,0.2918227303,0.0502366626
4.0000000000,51.0000000000,0.0736023671,0.6034951374,0.3229024955,0.0794256158,0.6512422743,0.2693321099,0.0733170108
4.0000000000,52.0000000000,0.0441973639,0.6154903699,0.3403122662,0.0471210025,0.6562048217,0.2966741758,0.0620453407
4.0000000000,53.0000000000,0.0581382285,0.6062720418,0.3355897297,0.0611666969,0.6378532548,0.3009800483,0.0495117219
5.0000000000,45.0000000000,0.5318658254,0.2864199058,0.1817142688,0.5452314648,0.2936175579,0.1611509773,0.0245136980
5.0000000000,46.0000000000,0.2343141403,0.4701388478,0.2955470119,0.2406545341,0.4828605105,0.2764849554,0.0263464549
5.0000000000,47.0000000000,0.2381213608,0.4788915320,0.2829871072,0.2456335261,0.4939994262,0.2603670477,0.0305828174
5.0000000000,48.0000000000,0.1716726003,0.5289107398,0.2994166599,0.1779587284,0.5482778412,0.2737634304,0.0353235165
5.0000000000,49.0000000000,0.1428742340,0.5570380070,0.3000877590,0.1489634020,0.5807784528,0.2702581452,0.0408769397
5.0000000000,50.0000000000,0.1224923606,0.5880717799,0.2894358595,0.1295110089,0.6217675054,0.2487214857,0.0541934490
5.0000000000,51.0000000000,0.0876807678,0.6226659406,0.2896532916,0.0943933187,0.6703351949,0.2352714864,0.0711125638
5.0000000000,52.0000000000,0.0584058260,0.6251190390,0.3164751350,0.0619314623,0.6628540138,0.2752145238,0.0569280325
5.0000000000,53.0000000000,0.0643174544,0.6055878415,0.3300947041,0.0673223514,0.6338807694,0.2987968792,0.0446344633
5.0000000000,54.0000000000,0.0601098058,0.5995003053,0.3403898889,0.0627413864,0.6257461621,0.3115124515,0.0419432965
5.0000000000,59.0000000000,0.0431552885,0.6183669997,0.3384777117,0.0443446724,0.6354095406,0.3202457870,0.0268213487
5.0000000000,60.0000000000,0.0377178507,0.5885472156,0.3737349338,0.0384532725,0.6000226963,0.3615240312,0.0191250778
5.0000000000,61.0000000000,0.1206721573,0.5372963710,0.3420314717,0.1223638897,0.5448288594,0.3328072509,0.0138254212
5.0000000000,62.0000000000,0.1304386016,0.5199272973,0.3496341011,0.1320446675,0.5263290640,0.3416262685,0.0121630499
5.0000000000,63.0000000000,0.1242355666,0.5012344976,0.3745299358,0.1255904251,0.5067007410,0.3677088339,0.0107879128
