Lon,Lat,LCC_all_AD1725_C,LCC_all_AD1725_B,LCC_all_AD1725_U,NLC_all_AD1725_C,NLC_all_AD1725_B,NLC_all_AD1725_O,HLU_all_AD1725
-4.0000000000,53.0000000000,0.0324653973,0.1530370749,0.8144975278,0.0442962258,0.2088058486,0.7468979257,0.2670843467
-4.0000000000,54.0000000000,0.0327094274,0.1525659508,0.8147246218,0.0430410477,0.2007555277,0.7562034247,0.2400410959
-4.0000000000,55.0000000000,0.0335123425,0.1385697959,0.8279178616,0.0418133167,0.1728933977,0.7852932856,0.1985246530
-4.0000000000,56.0000000000,0.0310411585,0.1257852300,0.8431736115,0.0373392896,0.1513065670,0.8113541435,0.1686730289
-4.0000000000,57.0000000000,0.0294321751,0.1213438518,0.8492239731,0.0344635516,0.1420873614,0.8234490870,0.1459912365
-4.0000000000,58.0000000000,0.0267575530,0.1256260584,0.8476163887,0.0307547818,0.1443929504,0.8248522678,0.1299709714
-4.0000000000,59.0000000000,0.0263001212,0.1158690029,0.8578308759,0.0295104566,0.1300126017,0.8404769417,0.1087863685
-3.0000000000,48.0000000000,0.0280641132,0.1459500965,0.8259857903,0.0642157202,0.3339599760,0.6018243039,0.5629712929
-3.0000000000,49.0000000000,0.0241479796,0.1390920069,0.8367600135,0.0596705586,0.3437015384,0.5966279030,0.5953116547
-3.0000000000,51.0000000000,0.0345496754,0.1590762162,0.8063741084,0.0583152058,0.2684992603,0.6731855338,0.4075357378
-3.0000000000,52.0000000000,0.0361112087,0.1578999216,0.8059888697,0.0559684915,0.2447279037,0.6993036049,0.3547939601
-3.0000000000,53.0000000000,0.0351589841,0.1541603806,0.8106806353,0.0505079436,0.2214604326,0.7280316238,0.3038919916
-3.0000000000,54.0000000000,0.0358473850,0.1419022186,0.8222503964,0.0480929645,0.1903764628,0.7615305727,0.2546230953
-3.0000000000,55.0000000000,0.0302570742,0.1355041445,0.8342387813,0.0383193198,0.1716103350,0.7900703452,0.2103963641
-3.0000000000,56.0000000000,0.0291632469,0.1390848384,0.8317519147,0.0358138099,0.1708025851,0.7933836051,0.1856982823
-3.0000000000,57.0000000000,0.0282309330,0.1327347806,0.8390342864,0.0337536466,0.1587011974,0.8075451561,0.1636182788
-3.0000000000,58.0000000000,0.0286884279,0.1349560829,0.8363554892,0.0335110845,0.1576428207,0.8088460949,0.1439122799
-2.0000000000,45.0000000000,0.0506190794,0.1875424923,0.7618384283,0.0688794848,0.2551968623,0.6759236529,0.2651065903
-2.0000000000,47.0000000000,0.0357610394,0.1636922555,0.8005467052,0.0691998730,0.3167548676,0.6140452594,0.4832210262
-2.0000000000,48.0000000000,0.0255715368,0.1375029111,0.8369255521,0.0647135667,0.3479768876,0.5873095458,0.6048504485
-2.0000000000,49.0000000000,0.0219667269,0.1314077359,0.8466255372,0.0609561653,0.3646474828,0.5743963519,0.6396307610
-2.0000000000,50.0000000000,0.0249219657,0.1432059790,0.8318720553,0.0600004189,0.3447729136,0.5952266675,0.5846368050
-2.0000000000,51.0000000000,0.0325709190,0.1592996941,0.8081293870,0.0600378159,0.2936363481,0.6463258360,0.4574932732
-2.0000000000,52.0000000000,0.0338994176,0.1595281344,0.8065724480,0.0574601877,0.2704033640,0.6721364482,0.4100364284
-2.0000000000,53.0000000000,0.0345188938,0.1557139043,0.8097672019,0.0528685879,0.2384889355,0.7086424766,0.3470812223
-2.0000000000,54.0000000000,0.0320565107,0.1499422844,0.8180012049,0.0456175811,0.2133733266,0.7410090923,0.2972772800
-2.0000000000,55.0000000000,0.0302568659,0.1517033276,0.8180398066,0.0404371366,0.2027456579,0.7568172055,0.2517554796
-2.0000000000,56.0000000000,0.0299631814,0.1467005880,0.8233362306,0.0377782181,0.1849632299,0.7772585520,0.2068662075
