Lon,Lat,LCC_elev_AD1900_C,LCC_elev_AD1900_B,LCC_elev_AD1900_U,NLC_elev_AD1900_C,NLC_elev_AD1900_B,NLC_elev_AD1900_O,HLU_elev_AD1900
5.0000000000,49.0000000000,0.0992102793,0.1400024573,0.7607872634,0.2979622938,0.4204751124,0.2815625938,0.6670374697
5.0000000000,50.0000000000,0.1063391563,0.1675360709,0.7261247729,0.2676588375,0.4216933024,0.3106478601,0.6027063510
5.0000000000,51.0000000000,0.1066147350,0.2014642386,0.6919210265,0.2216109653,0.4187665466,0.3596224882,0.5189103805
5.0000000000,52.0000000000,0.0996838323,0.2134924011,0.6868237666,0.1895367939,0.4059300719,0.4045331342,0.4740660624
5.0000000000,53.0000000000,0.0927518801,0.2179223607,0.6893257592,0.1639005928,0.3850876562,0.4510117510,0.4340967382
5.0000000000,54.0000000000,0.0770943289,0.2049402431,0.7179654279,0.1431600993,0.3805632135,0.4762766872,0.4614817306
5.0000000000,59.0000000000,0.0966242015,0.2203637389,0.6830120596,0.1133198583,0.2584403004,0.6282398413,0.1473321360
5.0000000000,60.0000000000,0.1110944888,0.2043779420,0.6845275692,0.1213811246,0.2233020260,0.6553168494,0.0847465847
5.0000000000,61.0000000000,0.1173591203,0.1845718186,0.6980690611,0.1238552304,0.1947883134,0.6813564561,0.0524492189
5.0000000000,62.0000000000,0.1063239517,0.1752123655,0.7184636828,0.1105006033,0.1820951140,0.7074042826,0.0377975462
5.0000000000,63.0000000000,0.1057828037,0.1718506275,0.7223665689,0.1095061509,0.1778994326,0.7125944165,0.0340012614
6.0000000000,45.0000000000,0.3528483604,0.1472336882,0.4999179514,0.4907679610,0.2047836551,0.3044483839,0.2810281264
6.0000000000,46.0000000000,0.3105868209,0.1702247882,0.5191883909,0.4335750786,0.2376315444,0.3287933770,0.2836608093
6.0000000000,47.0000000000,0.2650112488,0.1777682279,0.5572205233,0.4142329136,0.2778653785,0.3079017079,0.3602361374
6.0000000000,48.0000000000,0.1949573839,0.1654611528,0.6395814633,0.3943532494,0.3346892636,0.2709574869,0.5056275454
